id,Age,Birth_Country,Date_of_Birth,Function,Gender,Height_m,Place_of_birth,Residence_Country,name,events,Place_of_residence
0,19,France,11 Mar 2005,Athlete,Male,1.88,TOULOUSE,France,RESTES Guillaume,"         Discipline         Event  Rank         Medal
0  FootballFootball  MenFRAFrance     2  Silver Medal",
0,23,Argentina,22 Oct 2001,Athlete,Male,1.82,BUENOS AIRES,Greece,HEZZE Santiago,"         Discipline            Event  Rank  Medal
0  FootballFootball  MenARGArgentina     7    NaN",
0,24,Russian Federation,28 Jun 2000,Athlete,Male,1.95,NALCHIK,Austria,TALOVIEROV Maksym,"         Discipline          Event  Rank  Medal
0  FootballFootball  MenUKRUkraine     9    NaN",
0,25,Colombia,25 Mar 1999,Athlete,Female,1.77,SIBATE,,RAMIREZ Mayra,"         Discipline             Event  Rank  Medal
0  FootballFootball  WomenCOLColombia     8    NaN",
0,23,Mali,20 Aug 2001,Athlete,Male,1.83,BAMAKO,Great Britain,TRAORE Boubacar,"         Discipline       Event  Rank  Medal
0  FootballFootball  MenMLIMali    14    NaN",
0,19,New Zealand,27 Jan 2005,Athlete,Male,1.90,NORTH SHORE,Great Britain,BINDON Tyler,"         Discipline              Event  Rank  Medal
0  FootballFootball  MenNZLNew Zealand    11    NaN",
0,26,Australia,9 Apr 1998,Athlete,Female,1.65,"SHEPPARTON, VIC",United States,VINE Cortnee,"         Discipline              Event  Rank  Medal
0  FootballFootball  WomenAUSAustralia     9    NaN",
0,22,Ukraine,5 Mar 2002,Athlete,Male,1.85,BEREZIVKA,Ukraine,BATAHOV Arsenii,"         Discipline          Event  Rank  Medal
0  FootballFootball  MenUKRUkraine     9    NaN",
0,23,,24 Jul 2001,Athlete,Female,1.64,,,FREIER Sharn,"         Discipline              Event  Rank  Medal
0  FootballFootball  WomenAUSAustralia     9    NaN",
0,26,Canada,10 Mar 1998,Athlete,Female,1.64,"LONDON, ON",Canada,FLEMING Jessie,"         Discipline           Event  Rank  Medal
0  FootballFootball  WomenCANCanada     7    NaN","LONDON, ON"
0,23,Iraq,24 Sep 2001,Athlete,Male,1.80,,Iraq,AHMED HASAN,"         Discipline       Event  Rank  Medal
0  FootballFootball  MenIRQIraq    10    NaN",
0,23,Spain,10 Feb 2001,Athlete,Male,1.80,MADRID,,CAMELLO Sergio,"         Discipline        Event  Rank       Medal
0  FootballFootball  MenESPSpain     1  Gold Medal",
0,30,United States,26 May 1994,Athlete,Female,1.75,"WHEAT RIDGE, CO",United States,HORAN Lindsey,"         Discipline                  Event  Rank       Medal
0  FootballFootball  WomenUSAUnited States     1  Gold Medal",
0,21,New Zealand,23 Sep 2003,Athlete,Male,1.90,,,SURMAN Finn,"         Discipline              Event  Rank  Medal
0  FootballFootball  MenNZLNew Zealand    11    NaN",
0,22,Nigeria,13 Mar 2002,Athlete,Female,1.67,ONDO,France,DEMEHIN Blessing,"         Discipline            Event  Rank  Medal
0  FootballFootball  WomenNGRNigeria    11    NaN",REIMS
0,20,Brazil,22 Aug 2004,Athlete,Female,1.70,SAO GONCALO DO AMARANTE,,PRISCILA,"         Discipline           Event  Rank         Medal
0  FootballFootball  WomenBRABrazil     2  Silver Medal",
0,22,Brazil,23 Jan 2002,Athlete,Female,1.67,SUZANO,Brazil,VITORIA YAYA,"         Discipline           Event  Rank         Medal
0  FootballFootball  WomenBRABrazil     2  Silver Medal",
0,23,Spain,26 May 2001,Athlete,Male,1.75,BARCELONA,Italy,BERNABE Adrian,"         Discipline        Event  Rank       Medal
0  FootballFootball  MenESPSpain     1  Gold Medal",
0,23,Ukraine,1 Apr 2001,Athlete,Male,1.85,ZORYA,,SYCH Oleksii,"         Discipline          Event  Rank  Medal
0  FootballFootball  MenUKRUkraine     9    NaN",
0,23,Egypt,14 Feb 2001,Athlete,Male,1.90,,Egypt,ALI EL GABRY,"         Discipline        Event  Rank  Medal
0  FootballFootball  MenEGYEgypt     4    NaN",
0,25,Nigeria,1 Oct 1999,Athlete,Female,1.70,ABA,Russian Federation,MACLEANS Chinonyerem,"         Discipline            Event  Rank  Medal
0  FootballFootball  WomenNGRNigeria    11    NaN",
0,20,Spain,2 Mar 2004,Athlete,Male,1.85,MADRID,Spain,DE LEON Jose,"         Discipline                     Event  Rank  Medal
0  FootballFootball  MenDOMDominican Republic    12    NaN",
0,26,Spain,14 Jul 1998,Athlete,Female,1.65,BARAKALDO,Great Britain,GARCIA Lucia,"         Discipline          Event  Rank  Medal
0  FootballFootball  WomenESPSpain     4    NaN",
0,23,New Zealand,7 Jul 2001,Athlete,Female,1.66,CHRISTCHURCH,,RENNIE Gabi,"         Discipline                Event  Rank  Medal
0  FootballFootball  WomenNZLNew Zealand    10    NaN",
0,29,Germany,28 Jan 1995,Athlete,Female,1.74,CELLE,,FROHMS Merle,"         Discipline            Event  Rank         Medal
0  FootballFootball  WomenGERGermany     3  Bronze Medal",
0,23,Uzbekistan,19 Dec 2000,Athlete,Male,1.81,NAVOIY,IR Iran,URUNOV Oston,"         Discipline             Event  Rank  Medal
0  FootballFootball  MenUZBUzbekistan    13    NaN",
0,20,Spain,13 Nov 2003,Athlete,Female,1.74,ZARAGOZA,Spain,PARALLUELO Salma,"         Discipline          Event  Rank  Medal
0  FootballFootball  WomenESPSpain     4    NaN",
0,31,Canada,11 May 1993,Athlete,Female,1.71,"WELLAND, ON",,D'ANGELO Sabrina,"         Discipline           Event  Rank  Medal
0  FootballFootball  WomenCANCanada     7    NaN",
0,25,Spain,10 Jun 1999,Athlete,Female,1.61,VILASSAR DE MAR,Spain,BATLLE Ona,"         Discipline          Event  Rank  Medal
0  FootballFootball  WomenESPSpain     4    NaN",
0,23,United States,13 Mar 2001,Athlete,Male,1.90,"SAINT CHARLES, MO",,SCHULTE Patrick,"         Discipline                Event  Rank  Medal
0  FootballFootball  MenUSAUnited States     8    NaN",
0,23,New Zealand,26 Jun 2001,Athlete,Female,1.73,INVERCARGILL,,LEAT Anna,"         Discipline                Event  Rank  Medal
0  FootballFootball  WomenNZLNew Zealand    10    NaN",
0,20,Israel,23 Aug 2004,Athlete,Male,1.75,NETANYA,Israel,FEINGOLD Ilay,"         Discipline         Event  Rank  Medal
0  FootballFootball  MenISRIsrael    15    NaN",
0,33,France,28 May 1991,Athlete,Male,1.75,LYON,France,LACAZETTE Alexandre,"         Discipline         Event  Rank         Medal
0  FootballFootball  MenFRAFrance     2  Silver Medal",
0,24,Mali,1 Feb 2000,Athlete,Male,1.83,SANAKOROBA,Algeria,JIDDOU Salam,"         Discipline       Event  Rank  Medal
0  FootballFootball  MenMLIMali    14    NaN",
0,23,Spain,4 May 2001,Athlete,Male,1.94,SALLENT DE LLOBREGAT,Spain,GARCIA Joan,"         Discipline        Event  Rank       Medal
0  FootballFootball  MenESPSpain     1  Gold Medal",
0,30,Colombia,31 Aug 1994,Athlete,Female,1.74,BUCARAMANGA,Brazil,ARIAS Daniela,"         Discipline             Event  Rank  Medal
0  FootballFootball  WomenCOLColombia     8    NaN",
0,23,Belgium,19 Oct 2001,Athlete,Male,1.70,SCHAERBEEK,Belgium,LEMAIRE Nelson,"         Discipline                     Event  Rank  Medal
0  FootballFootball  MenDOMDominican Republic    12    NaN",
0,38,Zambia,14 Jan 1986,Athlete,Female,1.60,LUSAKA,Israel,NACHULA Racheal,"         Discipline           Event  Rank  Medal
0  FootballFootball  WomenZAMZambia    12    NaN",
0,23,Uzbekistan,6 Jul 2001,Athlete,Male,1.80,FERGANA,Uzbekistan,HAMRALIEV Muhammadkodir,"         Discipline             Event  Rank  Medal
0  FootballFootball  MenUZBUzbekistan    13    NaN",
0,20,United States,23 Nov 2003,Athlete,Male,1.95,"HARLEM, NY",United States,VALDEZ Xavier,"         Discipline                     Event  Rank  Medal
0  FootballFootball  MenDOMDominican Republic    12    NaN",
0,23,Netherlands,29 May 2001,Athlete,Male,1.89,VEENENDAAL,Italy,EL AZZOUZI Oussama,"         Discipline          Event  Rank         Medal
0  FootballFootball  MenMARMorocco     3  Bronze Medal",
0,20,Uzbekistan,17 Feb 2004,Athlete,Male,1.81,,Uzbekistan,RAKHIMJONOV Asadbek,"         Discipline             Event  Rank  Medal
0  FootballFootball  MenUZBUzbekistan    13    NaN",
0,23,Egypt,2 Jan 2001,Athlete,Male,1.70,AL-FAYY?M,Egypt,AHMED EID,"         Discipline        Event  Rank  Medal
0  FootballFootball  MenEGYEgypt     4    NaN",
0,22,Spain,25 Jul 2002,Athlete,Male,1.80,MADRID,Spain,GONZALEZ Peter,"         Discipline                     Event  Rank  Medal
0  FootballFootball  MenDOMDominican Republic    12    NaN",
0,28,Japan,15 Jun 1996,Athlete,Female,1.60,KOBE,,SHIMIZU Risa,"         Discipline          Event  Rank  Medal
0  FootballFootball  WomenJPNJapan     5    NaN",
0,23,Japan,7 Mar 2001,Athlete,Male,1.77,CHIBA,Germany,UCHINO Takashi,"         Discipline        Event  Rank  Medal
0  FootballFootball  MenJPNJapan     5    NaN",
0,21,Mali,14 Jun 2003,Athlete,Male,1.79,,UA Emirates,DOUMBIA Cheickna,"         Discipline       Event  Rank  Medal
0  FootballFootball  MenMLIMali    14    NaN",
0,23,Spain,10 Apr 2001,Athlete,Female,1.72,OVIEDO,Spain,MENDEZ Maria,"         Discipline          Event  Rank  Medal
0  FootballFootball  WomenESPSpain     4    NaN",
0,24,Spain,19 Jan 2000,Athlete,Male,1.85,OLIVARES,Spain,MIRANDA Juan,"         Discipline        Event  Rank       Medal
0  FootballFootball  MenESPSpain     1  Gold Medal",
